,Fecha,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,1999-01-01,32.52995,26.02995,26.02995,25.52995,21.52995,21.52995,21.52995,21.52995,21.52995,21.52995,21.52995,21.52995,21.52995,21.52995,21.52995,21.52995,21.52995,21.52995,21.52995,21.52995,21.52995,21.52995,21.52995,21.43995
1,1999-01-02,21.51495,21.51495,21.44495,21.44495,21.51495,21.51495,21.51495,21.51495,25.52995,25.52995,21.51495,21.51495,21.44495,21.51495,21.51495,21.51495,21.51495,21.51495,32.52995,32.52995,32.52995,32.52995,26.02995,25.52995
2,1999-01-03,25.52995,25.52995,25.52995,25.52995,25.52995,25.52995,22.52995,25.52995,25.52995,25.52995,25.52995,25.52995,25.52995,25.52995,25.52995,25.52995,25.52995,22.52995,26.02995,26.02995,22.52995,26.02995,26.02995,25.52995
3,1999-01-04,23.02995,23.02995,23.02995,23.02995,23.02995,26.02995,26.02995,26.02995,26.02995,26.02995,26.02995,26.02995,26.02995,26.02995,26.02995,26.02995,26.02995,26.02995,33.52995,33.52995,26.02995,26.02995,26.02995,26.02995
4,1999-01-05,24.52995,24.52995,24.52995,24.52995,24.52995,25.52995,24.52995,25.52995,25.52995,25.52995,25.52995,25.52995,25.52995,25.52995,26.02995,26.02995,27.02995,27.02995,30.52995,33.52995,33.52995,27.02995,27.02995,26.02995
5,1999-01-06,26.12995,26.12995,26.12995,26.12995,26.12995,26.12995,26.12995,27.02995,26.12995,26.12995,26.12995,26.12995,26.12995,26.12995,26.12995,25.52995,26.12995,26.12995,30.52995,34.52995,27.02995,27.02995,27.02995,26.12995
6,1999-01-07,27.02995,27.02995,27.02995,27.02995,27.02995,27.02995,25.52995,25.52995,25.52995,25.52995,25.52995,27.02995,27.02995,25.52995,25.52995,25.52995,25.52995,25.52995,30.52995,34.52995,27.02995,25.52995,27.02995,27.02995
7,1999-01-08,26.52995,25.52995,25.52995,25.52995,25.52995,26.52995,25.52995,25.52995,25.52995,25.52995,25.52995,25.52995,25.52995,25.52995,25.52995,25.52995,25.52995,25.52995,25.52995,26.52995,25.52995,25.52995,27.02995,25.52995
8,1999-01-09,26.52995,25.52995,25.52995,25.52995,26.52995,25.52995,25.52995,26.52995,26.52995,26.52995,37.52995,26.52995,26.52995,37.52995,30.52995,26.52995,26.52995,30.52995,26.52995,26.52995,26.52995,26.52995,27.02995,26.52995
9,1999-01-10,24.52995,24.52995,24.12995,24.12995,24.12995,24.12995,23.52995,25.52995,25.52995,25.52995,25.52995,25.52995,25.52995,25.52995,25.52995,25.52995,25.52995,25.52995,25.52995,25.52995,25.52995,25.52995,25.52995,24.12995
10,1999-01-11,25.52995,25.52995,25.52995,25.52995,25.52995,25.52995,25.52995,25.52995,24.52995,25.52995,30.609949999999998,37.52995,37.52995,25.52995,25.52995,25.52995,25.52995,25.52995,25.52995,37.52995,30.609949999999998,24.52995,25.52995,25.52995
11,1999-01-12,24.02995,23.02995,23.02995,23.02995,24.02995,24.36995,24.02995,24.36995,25.52995,25.52995,25.52995,37.52995,37.52995,25.52995,25.52995,25.52995,25.52995,25.52995,37.52995,37.52995,25.52995,30.55995,27.02995,24.36995
12,1999-01-13,21.52995,21.52995,21.52995,21.52995,21.52995,22.52995,22.52995,22.52995,23.52995,23.52995,23.52995,23.52995,23.52995,23.52995,23.52995,22.52995,22.52995,22.52995,23.52995,23.52995,23.52995,23.52995,23.02995,22.32995
13,1999-01-14,21.51495,21.51495,21.51495,21.51495,21.51495,22.02995,22.02995,27.52995,37.52995,22.02995,22.02995,22.02995,22.02995,22.02995,27.52995,22.02995,27.52995,37.52995,22.02995,22.02995,22.02995,22.02995,27.02995,21.62995
14,1999-01-15,22.02995,22.02995,22.02995,22.02995,27.02995,27.02995,27.52995,27.52995,27.52995,22.02995,22.02995,37.52995,37.52995,22.02995,22.02995,27.52995,27.52995,22.02995,22.02995,37.52995,22.02995,27.52995,27.02995,22.02995
15,1999-01-16,27.02995,27.02995,27.02995,27.02995,27.02995,27.02995,22.02995,27.52995,27.52995,22.52995,22.52995,22.52995,22.52995,22.52995,22.52995,36.52995,36.52995,36.52995,22.52995,37.52995,22.52995,22.52995,22.52995,22.02995
16,1999-01-17,27.02495,27.02495,22.02995,22.02995,22.02995,22.02995,21.62995,21.62995,21.72995,21.72995,21.72995,21.72995,21.72995,22.02995,21.62995,22.02995,22.02995,21.72995,21.72995,22.02995,21.72995,22.02995,22.02995,27.52995
17,1999-01-18,27.02995,21.82995,21.82995,21.82995,27.02995,27.52995,22.679949999999998,27.52995,27.52995,37.52995,37.52995,37.52995,37.52995,27.52995,27.52995,21.82995,21.82995,36.52995,37.52995,40.52995,37.52995,37.52995,27.52995,27.52995
