fecha,hora,precio,weekday
1997-05-20,11.5,37.283638333333336,1
1997-05-21,11.5,45.73459666666667,2
1997-05-22,11.5,43.779763333333335,3
1997-05-23,11.5,34.86984666666667,4
1997-05-24,11.5,33.863096666666664,5
1997-05-25,11.5,35.56701333333333,6
1997-05-26,11.5,40.428805,0
1997-05-27,11.5,36.01009666666666,1
1997-05-28,11.5,36.33459666666666,2
1997-05-29,11.5,33.21376333333333,3
1997-05-30,11.5,33.395846666666664,4
1997-05-31,11.5,34.112096666666666,5
1997-06-01,11.5,27.76558,6
1997-06-02,11.5,24.20058,0
1997-06-03,11.5,34.73224666666667,1
1997-06-04,11.5,39.301413333333336,2
1997-06-05,11.5,31.827246666666667,3
1997-06-06,11.5,34.134746666666665,4
1997-06-07,11.5,28.18683,5
1997-06-08,11.5,21.74683,6
1997-06-09,11.5,23.567246666666662,0
1997-06-10,11.5,24.625705,1
1997-06-11,11.5,30.003913333333333,2
1997-06-12,11.5,31.971621666666664,3
1997-06-13,11.5,27.330371666666665,4
1997-06-14,11.5,28.30341333333333,5
1997-06-15,11.5,26.63958,6
1997-06-16,11.5,29.000788333333333,0
1997-06-17,11.5,32.614705,1
1997-06-18,11.5,34.576413333333335,2
1997-06-19,11.5,35.52153833333333,3
1997-06-20,11.5,28.97683,4
1997-06-21,11.5,34.74974666666667,5
1997-06-22,11.5,37.15041333333333,6
1997-06-23,11.5,40.55103833333333,0
1997-06-24,11.5,46.67058,1
1997-06-25,11.5,40.770163333333336,2
1997-06-26,11.5,39.90516333333333,3
1997-06-27,11.5,41.99433,4
1997-06-28,11.5,46.32808,5
1997-06-29,11.5,38.04766333333333,6
1997-06-30,11.5,39.48974666666667,0
1997-07-01,11.5,42.96747666666666,1
1997-07-02,11.5,47.61330999999999,2
1997-07-03,11.5,32.16164333333333,3
1997-07-04,11.5,38.60876833333333,4
1997-07-05,11.5,41.87639333333333,5
1997-07-06,11.5,35.43206,6
1997-07-07,11.5,51.27010166666667,0
1997-07-08,11.5,42.78697666666667,1
1997-07-09,11.5,36.52581,2
1997-07-10,11.5,27.06331,3
1997-07-11,11.5,22.234726666666663,4
1997-07-12,11.5,22.646643333333333,5
1997-07-13,11.5,20.792476666666666,6
1997-07-14,11.5,23.879976666666664,0
1997-07-15,11.5,22.837755416666667,1
1997-07-16,11.5,24.90081,2
1997-07-17,11.5,26.909143333333333,3
1997-07-18,11.5,23.842476666666663,4
1997-07-19,11.5,29.00914333333333,5
1997-07-20,11.5,20.94664333333333,6
1997-07-21,11.5,28.23206,0
1997-07-22,11.5,30.563935,1
1997-07-23,11.5,33.80989333333333,2
1997-07-24,11.5,36.186935,3
1997-07-25,11.5,30.03981,4
1997-07-26,11.5,31.468184999999995,5
1997-07-27,11.5,28.779976666666663,6
1997-07-28,11.5,28.604976666666666,0
1997-07-29,11.5,36.13831,1
1997-07-30,11.5,38.170143333333336,2
1997-07-31,11.5,34.40472666666667,3
1997-08-01,11.5,31.752455,4
1997-08-02,11.5,20.64408,5
1997-08-03,11.5,19.110746666666667,6
1997-08-04,11.5,27.673246666666667,0
1997-08-05,11.5,43.24533,1
1997-08-06,11.5,46.29358,2
1997-08-07,11.5,30.551246666666668,3
1997-08-08,11.5,44.21208000000001,4
1997-08-09,11.5,35.74116333333333,5
1997-08-10,11.5,28.183621666666667,6
1997-08-11,11.5,43.773246666666665,0
1997-08-12,11.5,43.064330000000005,1
1997-08-13,11.5,46.03099666666666,2
1997-08-14,11.5,45.01074666666667,3
1997-08-15,11.5,40.29783,4
1997-08-16,11.5,42.78808,5
1997-08-17,11.5,31.11133,6
1997-08-18,11.5,29.77083,0
1997-08-19,11.5,29.337746666666664,1
1997-08-20,11.5,33.217038333333335,2
1997-08-21,11.5,29.07533,3
1997-08-22,11.5,32.75033,4
1997-08-23,11.5,41.89799666666666,5
1997-08-24,11.5,32.06074666666667,6
1997-08-25,11.5,40.05699666666667,0
1997-08-26,11.5,38.83828833333333,1
1997-08-27,11.5,46.78241333333333,2
1997-08-28,11.5,58.51066333333333,3
1997-08-29,11.5,76.51074666666666,4
1997-08-30,11.5,46.05541333333333,5
1997-08-31,11.5,38.149746666666665,6
1997-09-01,11.5,73.71023333333333,0
1997-09-02,11.5,81.28056666666667,1
1997-09-03,11.5,105.86569166666668,2
1997-09-04,11.5,111.6214,3
1997-09-05,11.5,129.15123333333332,4
1997-09-06,11.5,61.58473333333333,5
1997-09-07,11.5,91.13344166666668,6
